# This is a data file of approximate electric field vectors
# Variable: N=10, Top=4, Right=1, Bottom=-4, Left=2, Front=2, Back=2, cycles=1000, Length=5

# X	Y	Z	Ex	Ey	Ez
2	4.5	4	0.0093867	-1.68026	-0.245858
2	4.5	4.5	0.00350773	-1.4344	-5.4344

2.5	0.5	0.5	-0.00311984	1.15326	-1.50075
2.5	0.5	1	0.00103762	1.03188	-0.656734
2.5	0.5	1.5	0.00946336	0.761233	-0.373103
2.5	0.5	2	0.0183608	0.526237	-0.248603
2.5	0.5	2.5	0.0257849	0.33994	-0.200139
2.5	0.5	3	0.0309087	0.182958	-0.206091
2.5	0.5	3.5	0.0328506	0.0347755	-0.290688
2.5	0.5	4	0.029804	-0.11282	-0.28807
2.5	0.5	4.5	0.0190715	-0.184986	-5.1929
2.5	1	0.5	-0.00639128	0.430714	-1.62213
2.5	1	1	-8.70468e-05	0.499998	-0.92738
2.5	1	1.5	0.0143442	0.414992	-0.6081
2.5	1	2	0.030187	0.294394	-0.4349
2.5	1	2.5	0.0436881	0.178853	-0.357122
2.5	1	3	0.0531129	0.0757397	-0.354273
2.5	1	3.5	0.0567452	-0.0152486	-0.438283
2.5	1	4	0.0513998	-0.0857533	-0.360236
2.5	1	4.5	0.0326615	-0.0991577	-5.00791
2.5	1.5	0.5	-0.00911884	0.17534	-1.55284
2.5	1.5	1	-0.00226427	0.23553	-1.01239
2.5	1.5	1.5	0.0155459	0.215452	-0.728697
2.5	1.5	2	0.0358426	0.162507	-0.550441
2.5	1.5	2.5	0.0535091	0.102914	-0.460235
2.5	1.5	3	0.0659935	0.0469585	-0.445262
2.5	1.5	3.5	0.0708993	-0.000722779	-0.508788
2.5	1.5	4	0.0641744	-0.0329664	-0.373641
2.5	1.5	4.5	0.0405755	-0.0358894	-4.90875
2.5	2	0.5	-0.0108474	0.0483096	-1.49265
2.5	2	1	-0.00407524	0.0691547	-1.03246
2.5	2	1.5	0.0152832	0.0663848	-0.781643
2.5	2	2	0.0379154	0.0518102	-0.610034
2.5	2	2.5	0.0579073	0.0337413	-0.516191
